"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\src\IDo.Services\Services\TaskRequestService.cs", "C#", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 199
"d:\Projects\IDo\src\IDo.Services\Services\TaskService.cs", "C#", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 197
"d:\Projects\IDo\src\IDo.Services\Services\TodayService.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"d:\Projects\IDo\src\IDo.Services\Services\UserManagementService.cs", "C#", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 104
"d:\Projects\IDo\src\IDo.Web\ClientApp\.postcssrc.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Projects\IDo\src\IDo.Web\ClientApp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"d:\Projects\IDo\src\IDo.Web\ClientApp\angular.json", "JSON", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"d:\Projects\IDo\src\IDo.Web\ClientApp\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 1, 2, 45
"d:\Projects\IDo\src\IDo.Web\ClientApp\package-lock.json", "JSON", 0, 11929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11930
"d:\Projects\IDo\src\IDo.Web\ClientApp\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\app.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 4, 57
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 80
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\habits.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\progress.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 11, 65
